"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] PublisherComparator record1Value","[2] PublisherComparator record2Value","[2] PublisherComparator record1PreprocessedValue","[2] PublisherComparator record2PreprocessedValue","[2] PublisherComparator similarity","[2] PublisherComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_29372","vg_sales_13914",,"0","BloodLust 2: Nemesis","Dragon Ball: Advanced Adventure","BloodLust 2: Nemesis","Dragon Ball: Advanced Adventure","0.0","0.0","windows","GBA","windows","GBA","0.0","0.0","WRF Studios","Namco Bandai Games","WRF Studios","Namco Bandai Games","0.36195286195286197","0.36195286195286197","2018-01-01T00:00","2004-01-01T00:00","2018-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_10754","vg_sales_10840","0.003386814264146092",,"DungeonUp","Dungeons","DungeonUp","Dungeons","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Black Shell Media","Kalypso Media","Black Shell Media","Kalypso Media","0.6858220211161387","0.6858220211161387","2015-01-01T00:00","2011-01-01T00:00","2015-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_11265","vg_sales_7485","0.003386814264146092",,"Deliverance","Defiance","Deliverance","Defiance","0.0","0.0","mac","PC","mac","PC","1.0","1.0","TBDTS Games","Trion Worlds","TBDTS Games","Trion Worlds","0.5568181818181818","0.5568181818181818","2015-01-01T00:00","2013-01-01T00:00","2015-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_39967","vg_sales_15292","0.003386814264146092",,"Stoppa!","Stormrise","Stoppa!","Stormrise","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Michiru Michel Nakamura","Sega","Michiru Michel Nakamura","Sega","0.0","0.0","2019-01-01T00:00","2009-01-01T00:00","2019-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_6005","vg_sales_8034","0.003386814264146092",,"boxlife","Borderlands","boxlife","Borderlands","0.0","0.0","windows","PC","windows","PC","1.0","1.0","tequibo","Take-Two Interactive","tequibo","Take-Two Interactive","0.5735714285714286","0.5735714285714286","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_22501","vg_sales_15123","0.003386814264146092",,"SAELIG","SAW","SAELIG","SAW","0.0","0.0","mac","PC","mac","PC","1.0","1.0","Stardog Games","Konami Digital Entertainment","Stardog Games","Konami Digital Entertainment","0.5086996336996337","0.5086996336996337","2017-01-01T00:00","2009-01-01T00:00","2017-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_538","vg_sales_11571","0.9447585258738367","1","Need for Speed Undercover","Need For Speed: Undercover","Need for Speed Undercover","Need For Speed: Undercover","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Electronic Arts","Electronic Arts","Electronic Arts","Electronic Arts","1.0","1.0","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","2008-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_90","vg_sales_7485","0.003386814264146092",,"DEFCON","Defiance","DEFCON","Defiance","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Introversion Software","Trion Worlds","Introversion Software","Trion Worlds","0.0","0.0","2006-01-01T00:00","2013-01-01T00:00","2006-01-01T00:00","2013-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_12055","vg_sales_14636","0.010264639697325972",,"Starlord","Stellaris","Starlord","Stellaris","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Retroism;Nightdive Studios","Paradox Interactive","Retroism;Nightdive Studios","Paradox Interactive","0.5764323395902343","0.5764323395902343","2015-01-01T00:00","2016-01-01T00:00","2015-01-01T00:00","2016-01-01T00:00","0.5","0.5"
"WekaMatchingRule","steam_games_658","vg_sales_6342",,"0","Tropico 3","Tropico 4","Tropico 3","Tropico 4","0.5","0.5","windows","PC","windows","PC","1.0","1.0","Kalypso Media Digital","Kalypso Media","Kalypso Media Digital","Kalypso Media","0.9238095238095239","0.9238095238095239","2009-01-01T00:00","2011-01-01T00:00","2009-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_9209","vg_sales_14811",,"0","Unheard Screams - King Leopold II's Rule Over The Congo","Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku","Unheard Screams - King Leopold II's Rule Over The Congo","Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku","0.0","0.0","windows","PSV","windows","PSV","0.0","0.0","Locomotivah","FuRyu","Locomotivah","FuRyu","0.0","0.0","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_34569","vg_sales_4500",,"0","Stoneshard: Prologue","007: Quantum of Solace","Stoneshard: Prologue","007: Quantum of Solace","0.0","0.0","linux","PS2","linux","PS2","0.0","0.0","HypeTrain Digital","Activision","HypeTrain Digital","Activision","0.0","0.0","2018-01-01T00:00","2008-01-01T00:00","2018-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_34916","vg_sales_8772",,"0","18+","Naruto Shippuden: Legends: Akatsuki Rising","18+","Naruto Shippuden: Legends: Akatsuki Rising","0.0","0.0","mac","PSP","mac","PSP","0.0","0.0","КиКо","Namco Bandai Games","КиКо","Namco Bandai Games","0.0","0.0","2018-01-01T00:00","2009-01-01T00:00","2018-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_32745","vg_sales_8599","0.003386814264146092",,"CryoFall","The Crew","CryoFall","The Crew","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Daedalic Entertainment","Ubisoft","Daedalic Entertainment","Ubisoft","0.0","0.0","2019-01-01T00:00","2014-01-01T00:00","2019-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_5273","vg_sales_8845","0.003386814264146092",,"Tengami","Terraria","Tengami","Terraria","0.0","0.0","windows","PC","windows","PC","1.0","1.0","Nyamyam","Unknown","Nyamyam","Unknown","0.42857142857142855","0.42857142857142855","2015-01-01T00:00","2011-01-01T00:00","2015-01-01T00:00","2011-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_2751","vg_sales_2210",,"0","Space Hulk","SaGa Frontier 2","Space Hulk","SaGa Frontier 2","0.0","0.0","mac","PS","mac","PS","0.0","0.0","Full Control","SquareSoft","Full Control","SquareSoft","0.49444444444444446","0.49444444444444446","2013-01-01T00:00","1999-01-01T00:00","2013-01-01T00:00","1999-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_20119","vg_sales_14636","0.003386814264146092",,"The Station","Stellaris","The Station","Stellaris","0.0","0.0","linux","PC","linux","PC","1.0","1.0","The Station","Paradox Interactive","The Station","Paradox Interactive","0.5093035619351408","0.5093035619351408","2018-01-01T00:00","2016-01-01T00:00","2018-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_2965","vg_sales_10839",,"1","Risen 3 - Titan Lords","Risen 3: Titan Lords","Risen 3 - Titan Lords","Risen 3: Titan Lords","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Deep Silver","Deep Silver","Deep Silver","Deep Silver","1.0","1.0","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","2014-01-01T00:00","1.0","1.0"
"WekaMatchingRule","steam_games_17532","vg_sales_11132",,"0","Cleo's Lost Idols","Ikaruga","Cleo's Lost Idols","Ikaruga","0.0","0.0","windows","GC","windows","GC","0.0","0.0","Chilled Mouse","Atari","Chilled Mouse","Atari","0.4256410256410256","0.4256410256410256","2017-01-01T00:00","2003-01-01T00:00","2017-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_24159","vg_sales_4030",,"0","Dream Daddy: A Dad Dating Simulator","Kane & Lynch 2: Dog Days","Dream Daddy: A Dad Dating Simulator","Kane & Lynch 2: Dog Days","0.0","0.0","linux","X360","linux","X360","0.0","0.0","Game Grumps","Square Enix","Game Grumps","Square Enix","0.503030303030303","0.503030303030303","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_13788","vg_sales_1718","0.003386814264146092",,"Sprinter","Spore","Sprinter","Spore","0.0","0.0","linux","PC","linux","PC","1.0","1.0","Light Step Games","Electronic Arts","Light Step Games","Electronic Arts","0.5944444444444444","0.5944444444444444","2016-01-01T00:00","2008-01-01T00:00","2016-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_22682","vg_sales_15455","0.003386814264146092",,"Virush","Vietcong","Virush","Vietcong","0.0","0.0","windows","PC","windows","PC","1.0","1.0","DMG Entertainment","Gathering of Developers","DMG Entertainment","Gathering of Developers","0.0","0.0","2017-01-01T00:00","2003-01-01T00:00","2017-01-01T00:00","2003-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_310","vg_sales_14870","0.9447585258738367","1","Battlestations Pacific","Battlestations: Pacific","Battlestations Pacific","Battlestations: Pacific","1.0","1.0","windows","PC","windows","PC","1.0","1.0","Square Enix","Eidos Interactive","Square Enix","Eidos Interactive","0.0","0.0","2009-01-01T00:00","2009-01-01T00:00","2009-01-01T00:00","2009-01-01T00:00","1.0","1.0"
