"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlatformComparatorAdvanced record1Value","[0] PlatformComparatorAdvanced record2Value","[0] PlatformComparatorAdvanced record1PreprocessedValue","[0] PlatformComparatorAdvanced record2PreprocessedValue","[0] PlatformComparatorAdvanced similarity","[0] PlatformComparatorAdvanced postproccesedSimilarity","[1] TitleComparator record1Value","[1] TitleComparator record2Value","[1] TitleComparator record1PreprocessedValue","[1] TitleComparator record2PreprocessedValue","[1] TitleComparator similarity","[1] TitleComparator postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"WekaMatchingRule","steam_games_26217","wikidata_35795","0.015109649441685198",,"windows","macOS","windows","macOS","1.0","1.0","DEFECTIVE","Descent","DEFECTIVE","Descent","0.0","0.0","VergeXGamer","Parallax Software","VergeXGamer","Parallax Software","0.17647058823529416","0.17647058823529416","2017-01-01T00:00","1996-01-01T00:00","2017-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_13943","wikidata_5559","0.013858054260990798",,"windows","Linux","windows","Linux","1.0","1.0","Paintey","Pac-man","Paintey","Pac-man","0.0","0.0","Brian Lindenhof","Namco","Brian Lindenhof","Namco","0.1333333333333333","0.1333333333333333","2016-01-01T00:00","1980-01-01T00:00","2016-01-01T00:00","1980-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_35394","wikidata_23209","0.01060130058076173",,"windows","macOS","windows","macOS","1.0","1.0","Suitchi","SuperTuxKart","Suitchi","SuperTuxKart","0.0","0.0","GuruWorks",,"GuruWorks",,"0.0","0.0","2018-01-01T00:00","2004-01-01T00:00","2018-01-01T00:00","2004-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_39664","wikidata_6051","0.01481576336399951",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","PraeBot","ProtoGalaxy","PraeBot","ProtoGalaxy","0.0","0.0","KEꞰ;EasyWays Team","Source Studio Ltd.","KEꞰ;EasyWays Team","Source Studio Ltd.","0.16666666666666663","0.16666666666666663","2019-01-01T00:00","2010-01-01T00:00","2019-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_23715","wikidata_11871","0.01060130058076173",,"mac","Linux","mac","Linux","1.0","1.0","Mirror","Minesweeper","Mirror","Minesweeper","0.0","0.0","KAGAMI WORKs",,"KAGAMI WORKs",,"0.0","0.0","2018-01-01T00:00","1989-01-01T00:00","2018-01-01T00:00","1989-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_524","wikidata_34",,"0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Velvet Assassin","Star Wars Episode I: Racer","Velvet Assassin","Star Wars Episode I: Racer","0.0","0.0","Replay Studios","LucasArts","Replay Studios","LucasArts","0.2142857142857143","0.2142857142857143","2009-01-01T00:00","1999-01-01T00:00","2009-01-01T00:00","1999-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_20871","wikidata_26200","0.01060130058076173",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","MegaGlest","Metrico","MegaGlest","Metrico","0.0","0.0","SoftCoder",,"SoftCoder",,"0.0","0.0","2017-01-01T00:00","2014-01-01T00:00","2017-01-01T00:00","2014-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_16492","wikidata_32085","0.014125279724816966",,"windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Blortasia","Blacklight","Blortasia","Blacklight","0.0","0.0","Shape Space VR","Zombie Studios","Shape Space VR","Zombie Studios","0.1428571428571429","0.1428571428571429","2017-01-01T00:00","2010-01-01T00:00","2017-01-01T00:00","2010-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_19474","wikidata_24203","0.016558763935506125",,"mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Sumoman","SuperHOT","Sumoman","SuperHOT","0.0","0.0","Tequilabyte Studio","Superhot Team","Tequilabyte Studio","Superhot Team","0.2222222222222222","0.2222222222222222","2017-01-01T00:00","2016-01-01T00:00","2017-01-01T00:00","2016-01-01T00:00","0.0","0.0"
"WekaMatchingRule","steam_games_18933","wikidata_24202","0.16972554880257482",,"windows","Linux","windows","Linux","1.0","1.0","SuperMoose","SuperHOT","SuperMoose","SuperHOT","0.0","0.0","Play Publishing","Superhot Team","Play Publishing","Superhot Team","0.0","0.0","2016-01-01T00:00","2016-01-01T00:00","2016-01-01T00:00","2016-01-01T00:00","1.0","1.0"
