"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] TitleComparator record1Value","[0] TitleComparator record2Value","[0] TitleComparator record1PreprocessedValue","[0] TitleComparator record2PreprocessedValue","[0] TitleComparator similarity","[0] TitleComparator postproccesedSimilarity","[1] PlatformComparatorAdvanced record1Value","[1] PlatformComparatorAdvanced record2Value","[1] PlatformComparatorAdvanced record1PreprocessedValue","[1] PlatformComparatorAdvanced record2PreprocessedValue","[1] PlatformComparatorAdvanced similarity","[1] PlatformComparatorAdvanced postproccesedSimilarity","[2] DeveloperComparator record1Value","[2] DeveloperComparator record2Value","[2] DeveloperComparator record1PreprocessedValue","[2] DeveloperComparator record2PreprocessedValue","[2] DeveloperComparator similarity","[2] DeveloperComparator postproccesedSimilarity","[3] PubDateComparator record1Value","[3] PubDateComparator record2Value","[3] PubDateComparator record1PreprocessedValue","[3] PubDateComparator record2PreprocessedValue","[3] PubDateComparator similarity","[3] PubDateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","steam_games_16492","wikidata_32172","0.33333333333333337",,"Blortasia","Blackhole","Blortasia","Blackhole","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Shape Space VR","Q10855877","Shape Space VR","Q10855877","0.0","0.0","2017-01-01T00:00","2015-01-01T00:00","2017-01-01T00:00","2015-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_11941","wikidata_24474","0.25",,"ChromaGun","Chupacabra","ChromaGun","Chupacabra","0.0","0.0","mac","macOS","mac","macOS","1.0","1.0","Pixel Maniacs",,"Pixel Maniacs",,"0.0","0.0","2016-01-01T00:00","","2016-01-01T00:00","","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_14345","wikidata_5218","0.25",,"Candlelight","Canabalt","Candlelight","Canabalt","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Pixel Maverick Games",,"Pixel Maverick Games",,"0.0","0.0","2016-01-01T00:00","2009-01-01T00:00","2016-01-01T00:00","2009-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_25382","wikidata_4166","0.3527597402597403",,"Questr","QuakeWorld","Questr","QuakeWorld","0.0","0.0","windows","Linux","windows","Linux","1.0","1.0","Mutant Entertainment Studios","id Software","Mutant Entertainment Studios","id Software","0.41103896103896104","0.41103896103896104","2017-01-01T00:00","1996-01-01T00:00","2017-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_25382","wikidata_4167","0.3527597402597403",,"Questr","QuakeWorld","Questr","QuakeWorld","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Mutant Entertainment Studios","id Software","Mutant Entertainment Studios","id Software","0.41103896103896104","0.41103896103896104","2017-01-01T00:00","1996-01-01T00:00","2017-01-01T00:00","1996-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_8834","wikidata_11724","0.75",,"MX vs. ATV Unleashed","MX vs. ATV Unleashed","MX vs. ATV Unleashed","MX vs. ATV Unleashed","1.0","1.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Rainbow Studios","Rainbow Studios","Rainbow Studios","Rainbow Studios","1.0","1.0","2015-01-01T00:00","2005-01-01T00:00","2015-01-01T00:00","2005-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_18933","wikidata_24337","0.33333333333333337",,"SuperMoose","Supraball","SuperMoose","Supraball","0.0","0.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Play Publishing",,"Play Publishing",,"0.0","0.0","2016-01-01T00:00","2014-01-01T00:00","2016-01-01T00:00","2014-01-01T00:00","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","steam_games_35395","wikidata_25509","0.31851851851851853",,"Suitchi","Summoner","Suitchi","Summoner","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","GuruWorks","Deep Silver Volition","GuruWorks","Deep Silver Volition","0.2740740740740741","0.2740740740740741","2018-01-01T00:00","2000-01-01T00:00","2018-01-01T00:00","2000-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_29404","wikidata_5601","0.33064102564102565",,"Sprout","Spectromancer","Sprout","Spectromancer","0.0","0.0","mac","Microsoft Windows","mac","Microsoft Windows","1.0","1.0","Jeff Nusz;Mindful Mammoth","Apus Software","Jeff Nusz;Mindful Mammoth","Apus Software","0.32256410256410256","0.32256410256410256","2018-01-01T00:00","2008-01-01T00:00","2018-01-01T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","steam_games_1143","wikidata_11206","0.8333333333333334",,"Armada 2526","Armada 2526","Armada 2526","Armada 2526","1.0","1.0","windows","Microsoft Windows","windows","Microsoft Windows","1.0","1.0","Ntronium Games","Ntronium Games","Ntronium Games","Ntronium Games","1.0","1.0","2011-01-01T00:00","2009-01-01T00:00","2011-01-01T00:00","2009-01-01T00:00","0.33333333333333337","0.33333333333333337"
