"wikidata_28719","vg_sales_1177","0.96"
"wikidata_13898","vg_sales_1822","0.96"
"wikidata_25368","vg_sales_4530","0.96"
"wikidata_13668","vg_sales_2798","0.96"
"wikidata_13982","vg_sales_3394","0.96"
"wikidata_10991","vg_sales_7412","0.96"
"wikidata_35200","vg_sales_5853","0.96"
"wikidata_25591","vg_sales_7358","0.96"
"wikidata_21072","vg_sales_8678","0.96"
"wikidata_21349","vg_sales_2018","0.96"
"wikidata_108","vg_sales_2646","0.96"
"wikidata_13552","vg_sales_6028","0.96"
"wikidata_27614","vg_sales_10247","0.96"
"wikidata_31865","vg_sales_5437","0.96"
"wikidata_17660","vg_sales_2076","0.96"
"wikidata_8602","vg_sales_677","0.96"
"wikidata_34319","vg_sales_3914","0.96"
"wikidata_16905","vg_sales_1503","0.96"
"wikidata_12770","vg_sales_7361","0.96"
"wikidata_18978","vg_sales_1821","0.96"
"wikidata_18728","vg_sales_1321","0.96"
"wikidata_17801","vg_sales_1749","0.96"
"wikidata_18346","vg_sales_6384","0.96"
"wikidata_22014","vg_sales_2572","0.96"
"wikidata_14968","vg_sales_12582","0.96"
"wikidata_35753","vg_sales_9538","0.96"
"wikidata_21537","vg_sales_2195","0.96"
"wikidata_28477","vg_sales_896","0.96"
"wikidata_25748","vg_sales_6110","0.96"
"wikidata_22550","vg_sales_3114","0.96"
"wikidata_35398","vg_sales_5760","0.96"
"wikidata_29720","vg_sales_822","0.96"
"wikidata_32322","vg_sales_1636","0.96"
"wikidata_34188","vg_sales_5108","0.96"
"wikidata_452","vg_sales_12623","0.96"
"wikidata_17026","vg_sales_16144","0.96"
"wikidata_33031","vg_sales_4380","0.96"
"wikidata_31546","vg_sales_5060","0.96"
"wikidata_21520","vg_sales_2264","0.96"
"wikidata_24675","vg_sales_3121","0.96"
"wikidata_17310","vg_sales_7261","0.96"
"wikidata_25489","vg_sales_15123","0.96"
"wikidata_20628","vg_sales_1878","0.96"
"wikidata_17015","vg_sales_581","0.96"
"wikidata_24831","vg_sales_10084","0.96"
"wikidata_18496","vg_sales_1511","0.96"
"wikidata_30968","vg_sales_1066","0.96"
"wikidata_17244","vg_sales_3812","0.96"
"wikidata_18107","vg_sales_2780","0.96"
"wikidata_33958","vg_sales_4340","0.96"
"wikidata_35306","vg_sales_10768","0.96"
"wikidata_16952","vg_sales_560","0.96"
"wikidata_19143","vg_sales_12637","0.96"
"wikidata_29338","vg_sales_915","0.96"
"wikidata_25441","vg_sales_3810","0.96"
"wikidata_23757","vg_sales_8958","0.96"
"wikidata_27387","vg_sales_8269","0.96"
"wikidata_28439","vg_sales_10101","0.96"
"wikidata_33084","vg_sales_9456","0.96"
"wikidata_20647","vg_sales_1695","0.96"
